Dates,variable,value,color
2020-06-25,mod_4_up,13205927,blue
2020-06-26,mod_3,5337617,red
2020-06-26,mod_3_up,29269241,red
2020-06-26,mod_2,2151644,green
2020-06-26,mod_2_up,24070919,green
2020-06-26,mod_4,782010,blue
2020-06-26,mod_4_up,13800421,blue
2020-06-27,mod_3,5389175,red
2020-06-27,mod_3_up,29269472,red
2020-06-27,mod_2,2184753,green
2020-06-27,mod_2_up,24132274,green
2020-06-27,mod_4,803382,blue
2020-06-27,mod_4_up,14374458,blue
2020-06-28,mod_3,5439599,red
2020-06-28,mod_3_up,29254600,red
2020-06-28,mod_2,2217380,green
2020-06-28,mod_2_up,24210478,green
2020-06-28,mod_4,824581,blue
2020-06-28,mod_4_up,14994245,blue
2020-06-29,mod_3,5488991,red
2020-06-29,mod_3_up,29246818,red
2020-06-29,mod_2,2249602,green
2020-06-29,mod_2_up,24286466,green
2020-06-29,mod_4,845558,blue
2020-06-29,mod_4_up,15563567,blue
2020-06-30,mod_3,5537349,red
2020-06-30,mod_3_up,29219447,red
2020-06-30,mod_2,2281256,green
2020-06-30,mod_2_up,24342330,green
2020-06-30,mod_4,866315,blue
2020-06-30,mod_4_up,16132965,blue
2020-07-01,mod_3,5584789,red
2020-07-01,mod_3_up,29207255,red
2020-07-01,mod_2,2312469,green
2020-07-01,mod_2_up,24421029,green
2020-07-01,mod_4,886843,blue
2020-07-01,mod_4_up,16613240,blue
2020-07-02,mod_3,5631153,red
2020-07-02,mod_3_up,29201324,red
2020-07-02,mod_2,2343239,green
2020-07-02,mod_2_up,24470562,green
2020-07-02,mod_4,907145,blue
2020-07-02,mod_4_up,17094130,blue
2020-07-03,mod_3,5676521,red
2020-07-03,mod_3_up,29165557,red
2020-07-03,mod_2,2373520,green
2020-07-03,mod_2_up,24529854,green
2020-07-03,mod_4,927200,blue
2020-07-03,mod_4_up,17567324,blue
2020-07-04,mod_3,5720945,red
2020-07-04,mod_3_up,29155476,red
2020-07-04,mod_2,2403376,green
2020-07-04,mod_2_up,24579170,green
2020-07-04,mod_4,947020,blue
2020-07-04,mod_4_up,17983505,blue
2020-07-05,mod_3,5764506,red
2020-07-05,mod_3_up,29155764,red
2020-07-05,mod_2,2432837,green
2020-07-05,mod_2_up,24627418,green
2020-07-05,mod_4,966577,blue
2020-07-05,mod_4_up,18405978,blue
2020-07-06,mod_3,5807064,red
2020-07-06,mod_3_up,29147737,red
2020-07-06,mod_2,2461810,green
2020-07-06,mod_2_up,24676773,green
2020-07-06,mod_4,985899,blue
2020-07-06,mod_4_up,18792586,blue
2020-07-07,mod_3,5848792,red
2020-07-07,mod_3_up,29117200,red
2020-07-07,mod_2,2490356,green
2020-07-07,mod_2_up,24726261,green
2020-07-07,mod_4,1004966,blue
2020-07-07,mod_4_up,19153258,blue
2020-07-08,mod_3,5889615,red
2020-07-08,mod_3_up,29094976,red
2020-07-08,mod_2,2518352,green
2020-07-08,mod_2_up,24758978,green
2020-07-08,mod_4,1023769,blue
2020-07-08,mod_4_up,19496090,blue
2020-07-09,mod_3,5929546,red
2020-07-09,mod_3_up,29081681,red
2020-07-09,mod_2,2545991,green
2020-07-09,mod_2_up,24803950,green
2020-07-09,mod_4,1042293,blue
2020-07-09,mod_4_up,19779156,blue
2020-07-10,mod_3,5968668,red
2020-07-10,mod_3_up,29065781,red
2020-07-10,mod_2,2573187,green
2020-07-10,mod_2_up,24823620,green
2020-07-10,mod_4,1060559,blue
2020-07-10,mod_4_up,20071879,blue
2020-07-11,mod_3,6006977,red
2020-07-11,mod_3_up,29050605,red
2020-07-11,mod_2,2599935,green
2020-07-11,mod_2_up,24850348,green
2020-07-11,mod_4,1078595,blue
2020-07-11,mod_4_up,20341139,blue
2020-07-12,mod_3,6044480,red
2020-07-12,mod_3_up,29026367,red
2020-07-12,mod_2,2626292,green
2020-07-12,mod_2_up,24876240,green
2020-07-12,mod_4,1096381,blue
2020-07-12,mod_4_up,20569291,blue
2020-07-13,mod_3,6081213,red
2020-07-13,mod_3_up,29003794,red
2020-07-13,mod_2,2652188,green
2020-07-13,mod_2_up,24903343,green
2020-07-13,mod_4,1113930,blue
2020-07-13,mod_4_up,20756769,blue
2020-07-14,mod_3,6117180,red
2020-07-14,mod_3_up,28978945,red
2020-07-14,mod_2,2677703,green
2020-07-14,mod_2_up,24935426,green
2020-07-14,mod_4,1131229,blue
2020-07-14,mod_4_up,20982023,blue
2020-07-15,mod_3,6152441,red
2020-07-15,mod_3_up,28955182,red
2020-07-15,mod_2,2702867,green
2020-07-15,mod_2_up,24968679,green
2020-07-15,mod_4,1148240,blue
2020-07-15,mod_4_up,21151035,blue
2020-07-16,mod_3,6186950,red
2020-07-16,mod_3_up,28921926,red
2020-07-16,mod_2,2727602,green
2020-07-16,mod_2_up,24976616,green
2020-07-16,mod_4,1164966,blue
2020-07-16,mod_4_up,21329149,blue
2020-07-17,mod_3,6220757,red
2020-07-17,mod_3_up,28905568,red
2020-07-17,mod_2,2751958,green
2020-07-17,mod_2_up,25011171,green
2020-07-17,mod_4,1181454,blue
2020-07-17,mod_4_up,21479286,blue
2020-07-18,mod_3,6253870,red
2020-07-18,mod_3_up,28884988,red
2020-07-18,mod_2,2775919,green
2020-07-18,mod_2_up,25025343,green
2020-07-18,mod_4,1197704,blue
2020-07-18,mod_4_up,21629825,blue
2020-07-19,mod_3,6286300,red
2020-07-19,mod_3_up,28859228,red
2020-07-19,mod_2,2799498,green
2020-07-19,mod_2_up,25041224,green
2020-07-19,mod_4,1213705,blue
2020-07-19,mod_4_up,21783626,blue
2020-07-20,mod_3,6318039,red
2020-07-20,mod_3_up,28833592,red
2020-07-20,mod_2,2822680,green
2020-07-20,mod_2_up,25062696,green
2020-07-20,mod_4,1229473,blue
2020-07-20,mod_4_up,21895412,blue
2020-07-21,mod_3,6349152,red
2020-07-21,mod_3_up,28835325,red
2020-07-21,mod_2,2845466,green
2020-07-21,mod_2_up,25069092,green
2020-07-21,mod_4,1244939,blue
2020-07-21,mod_4_up,21985755,blue
2020-07-22,mod_3,6379573,red
2020-07-22,mod_3_up,28812160,red
2020-07-22,mod_2,2867953,green
2020-07-22,mod_2_up,25064314,green
2020-07-22,mod_4,1260214,blue
2020-07-22,mod_4_up,22107633,blue
2020-07-23,mod_3,6409479,red
2020-07-23,mod_3_up,28802798,red
2020-07-23,mod_2,2890115,green
2020-07-23,mod_2_up,25082826,green
2020-07-23,mod_4,1275233,blue
2020-07-23,mod_4_up,22216464,blue
2020-07-24,mod_3,6438675,red
2020-07-24,mod_3_up,28787787,red
2020-07-24,mod_2,2911885,green
2020-07-24,mod_2_up,25092835,green
2020-07-24,mod_4,1290017,blue
2020-07-24,mod_4_up,22291770,blue
2020-07-25,mod_3,6467311,red
2020-07-25,mod_3_up,28746173,red
2020-07-25,mod_2,2933342,green
2020-07-25,mod_2_up,25106384,green
2020-07-25,mod_4,1304535,blue
2020-07-25,mod_4_up,22387368,blue
2020-07-26,mod_3,6495410,red
2020-07-26,mod_3_up,28719709,red
2020-07-26,mod_2,2954454,green
2020-07-26,mod_2_up,25118842,green
2020-07-26,mod_4,1318821,blue
2020-07-26,mod_4_up,22469587,blue
2020-07-27,mod_3,6522879,red
2020-07-27,mod_3_up,28705652,red
2020-07-27,mod_2,2975210,green
2020-07-27,mod_2_up,25117820,green
2020-07-27,mod_4,1332916,blue
2020-07-27,mod_4_up,22538205,blue
2020-07-28,mod_3,6549870,red
2020-07-28,mod_3_up,28681118,red
