Dates	variable	value	upper_ci	color	type	State
2020-07-27	mod_5	1068314	13639749	Normal (pre-intervention)	solid	ap
2020-07-27	mod_6	15352	91725	Cautious return	solid	ap
2020-07-28	mod_2	166267	1430642	Soc. Dist. + Travel Ban	solid	ap
2020-07-28	mod_3	1567770	16909770	No Intervention	solid	ap
2020-07-28	mod_4	120981	922048	Moderate return	solid	ap
2020-07-28	mod_5	1117911	14154397	Normal (pre-intervention)	solid	ap
2020-07-28	mod_6	16164	95673	Cautious return	solid	ap
2020-07-29	mod_2	176230	1548162	Soc. Dist. + Travel Ban	solid	ap
2020-07-29	mod_3	1629745	17291838	No Intervention	solid	ap
2020-07-29	mod_4	128711	1000585	Moderate return	solid	ap
