state,place,date,confirmed,tested,daily_confirmed,daily_tested,tpr,text
Jammu and Kashmir,jk,2020-04-16,314,5680,14,509,0.0275049115913556,Date: Apr 16<br>TPR:    2.75%
Karnataka,ka,2020-04-16,315,13724,36,1241,0.0290088638195004,Date: Apr 16<br>TPR:    2.90%
Kerala,kl,2020-04-16,395,17400,7,925,0.00756756756756757,Date: Apr 16<br>TPR:    0.76%
Ladakh,la,2020-04-16,18,917,0,97,0,Date: Apr 16<br>TPR:    0.00%
Maharashtra,mh,2020-04-16,3201,50882,285,5740,0.0496515679442509,Date: Apr 16<br>TPR:    4.97%
Madhya Pradesh,mp,2020-04-16,1164,13492,226,3896,0.0580082135523614,Date: Apr 16<br>TPR:    5.80%
Odisha,or,2020-04-16,60,6734,0,1197,0,Date: Apr 16<br>TPR:    0.00%
Punjab,pb,2020-04-16,197,5524,11,331,0.0332326283987915,Date: Apr 16<br>TPR:    3.32%
Rajasthan,rj,2020-04-16,1131,40778,55,2918,0.0188485263879369,Date: Apr 16<br>TPR:    1.88%
Tamil Nadu,tn,2020-04-16,1267,26005,25,4011,0.006232859636001,Date: Apr 16<br>TPR:    0.62%
Tripura,tr,2020-04-16,2,762,0,24,0,Date: Apr 16<br>TPR:    0.00%
India,tt,2020-04-16,13432,302956,1061,28357,0.037415805621187,Date: Apr 16<br>TPR:    3.74%
Uttar Pradesh,up,2020-04-16,805,21384,70,1878,0.0372736954206603,Date: Apr 16<br>TPR:    3.73%
Uttarakhand,ut,2020-04-16,37,2593,0,180,0,Date: Apr 16<br>TPR:    0.00%
West Bengal,wb,2020-04-16,231,3811,18,341,0.0527859237536657,Date: Apr 16<br>TPR:    5.28%
Arunachal Pradesh,ar,2020-04-17,1,363,0,83,0,Date: Apr 17<br>TPR:    0.00%
Assam,as,2020-04-17,35,4236,0,128,0,Date: Apr 17<br>TPR:    0.00%
Bihar,br,2020-04-17,85,9486,2,640,0.003125,Date: Apr 17<br>TPR:    0.31%
Chandigarh,ch,2020-04-17,21,358,0,21,0,Date: Apr 17<br>TPR:    0.00%
