Name,Date,State,Type,Count,date.fmt,count.fmt,text
Tripura,2021-01-20,tr,New Cases,1,Jan 20,1,Jan 20: 1 New Cases
Tripura,2021-01-21,tr,New Cases,2,Jan 21,2,Jan 21: 2 New Cases
Tripura,2021-01-22,tr,New Cases,4,Jan 22,4,Jan 22: 4 New Cases
Tripura,2021-01-23,tr,New Cases,2,Jan 23,2,Jan 23: 2 New Cases
Tripura,2021-01-24,tr,New Cases,0,Jan 24,0,Jan 24: 0 New Cases
Tripura,2021-01-25,tr,New Cases,1,Jan 25,1,Jan 25: 1 New Cases
Tripura,2021-01-26,tr,New Cases,1,Jan 26,1,Jan 26: 1 New Cases
Tripura,2021-01-27,tr,New Cases,0,Jan 27,0,Jan 27: 0 New Cases
Tripura,2021-01-28,tr,New Cases,0,Jan 28,0,Jan 28: 0 New Cases
Tripura,2021-01-29,tr,New Cases,2,Jan 29,2,Jan 29: 2 New Cases
Tripura,2021-01-30,tr,New Cases,2,Jan 30,2,Jan 30: 2 New Cases
Tripura,2021-01-31,tr,New Cases,0,Jan 31,0,Jan 31: 0 New Cases
Tripura,2021-02-01,tr,New Cases,1,Feb  1,1,Feb  1: 1 New Cases
Tripura,2021-02-02,tr,New Cases,0,Feb  2,0,Feb  2: 0 New Cases
Tripura,2021-02-03,tr,New Cases,0,Feb  3,0,Feb  3: 0 New Cases
Tripura,2021-02-04,tr,New Cases,0,Feb  4,0,Feb  4: 0 New Cases
Tripura,2021-02-05,tr,New Cases,1,Feb  5,1,Feb  5: 1 New Cases
Tripura,2021-02-06,tr,New Cases,0,Feb  6,0,Feb  6: 0 New Cases
Tripura,2021-02-07,tr,New Cases,0,Feb  7,0,Feb  7: 0 New Cases
Tripura,2021-02-08,tr,New Cases,0,Feb  8,0,Feb  8: 0 New Cases
Tripura,2021-02-09,tr,New Cases,1,Feb  9,1,Feb  9: 1 New Cases
Tripura,2021-02-10,tr,New Cases,0,Feb 10,0,Feb 10: 0 New Cases
Tripura,2021-02-11,tr,New Cases,0,Feb 11,0,Feb 11: 0 New Cases
Tripura,2021-02-12,tr,New Cases,0,Feb 12,0,Feb 12: 0 New Cases
Tripura,2021-02-13,tr,New Cases,0,Feb 13,0,Feb 13: 0 New Cases
Tripura,2021-02-14,tr,New Cases,0,Feb 14,0,Feb 14: 0 New Cases
Tripura,2021-02-15,tr,New Cases,0,Feb 15,0,Feb 15: 0 New Cases
Tripura,2021-02-16,tr,New Cases,0,Feb 16,0,Feb 16: 0 New Cases
Tripura,2021-02-17,tr,New Cases,2,Feb 17,2,Feb 17: 2 New Cases
Tripura,2021-02-18,tr,New Cases,2,Feb 18,2,Feb 18: 2 New Cases
Tripura,2021-02-19,tr,New Cases,0,Feb 19,0,Feb 19: 0 New Cases
Tripura,2021-02-20,tr,New Cases,35,Feb 20,35,Feb 20: 35 New Cases
Tripura,2021-02-21,tr,New Cases,0,Feb 21,0,Feb 21: 0 New Cases
Tripura,2021-02-22,tr,New Cases,2,Feb 22,2,Feb 22: 2 New Cases
Tripura,2021-02-23,tr,New Cases,4,Feb 23,4,Feb 23: 4 New Cases
Tripura,2021-02-24,tr,New Cases,2,Feb 24,2,Feb 24: 2 New Cases
Tripura,2021-02-25,tr,New Cases,0,Feb 25,0,Feb 25: 0 New Cases
Tripura,2021-02-26,tr,New Cases,7,Feb 26,7,Feb 26: 7 New Cases
Tripura,2021-02-27,tr,New Cases,0,Feb 27,0,Feb 27: 0 New Cases
Tripura,2021-02-28,tr,New Cases,0,Feb 28,0,Feb 28: 0 New Cases
Tripura,2021-03-01,tr,New Cases,10,Mar  1,10,Mar  1: 10 New Cases
Tripura,2021-03-02,tr,New Cases,0,Mar  2,0,Mar  2: 0 New Cases
Tripura,2021-03-03,tr,New Cases,3,Mar  3,3,Mar  3: 3 New Cases
Tripura,2021-03-04,tr,New Cases,2,Mar  4,2,Mar  4: 2 New Cases
Tripura,2021-03-05,tr,New Cases,0,Mar  5,0,Mar  5: 0 New Cases
Tripura,2021-03-06,tr,New Cases,2,Mar  6,2,Mar  6: 2 New Cases
